Movie
Fight Club (1999)
Pulp Fiction (1994)
Snatch. (2000)
The Departed (2006)
The Way of the Gun (2000)
The Dark Knight (2008)
The Godfather (1972)
Heat (1995)
Collateral (2004)
Reservoir Dogs (1992)
The Hurt Locker (2008)
Donnie Darko (2001)
Saving Private Ryan (1998)
True Romance (1993)
Se7en (1995)
Goodfellas (1990)
The Usual Suspects (1995)
The Godfather: Part II (1974)
The Shawshank Redemption (1994)
Batman (1989)
American Psycho (2000)
Zodiac (2007)
There Will Be Blood (2007)
Inception (2010)
The Prestige (2006)
12 Angry Men (1957)
The Girl with the Dragon Tattoo (2011)
Slumdog Millionaire (2008)
No Country for Old Men (2007)
The Big Lebowski (1998)
Goldfinger (1964)
Back to the Future (1985)
Jaws (1975)
Die Hard (1988)
Casino (1995)
The Boondock Saints (1999)
Black Swan (2010)
The Social Network (2010)
The Goonies (1985)
Nosferatu: A Symphony of Horror (1922)
"Lock, Stock and Two Smoking Barrels (1998)"
Christmas Vacation (1989)
The Karate Kid (1984)
American History X (1998)
The Bourne Identity (2002)
Batman Begins (2005)
Sin City (2005)
Gattaca (1997)
Memento (2000)
The Poseidon Adventure (1972)
Léon: The Professional (1994)
Spaceballs (1987)
The War of the Worlds (1953)
Looper (2012)
Inglourious Basterds (2009)
Interstellar (2014)
Casablanca (1942)
Traffic (2000)
Magnolia (1999)
¡Three Amigos! (1986)
Crash (2004)
This Is Spinal Tap (1984)
Jurassic Park (1993)
28 Days Later... (2002)
A Few Good Men (1992)
Bohemian Rhapsody (2018)
Boogie Nights (1997)
Zero Dark Thirty (2012)
Ghostbusters (1984)
Kill Bill: Vol. 1 (2003)
Forrest Gump (1994)
Fargo (1996)
Bull Durham (1988)
The Fog of War (2003)
The Dark Knight Rises (2012)
The Rock (1996)
Ocean's Eleven (2001)
Children of Men (2006)
Deadpool (2016)
The Princess Bride (1987)
From Dusk Till Dawn (1996)
Shaun of the Dead (2004)
Sleuth (1972)
Gladiator (2000)
The Game (1997)
Requiem for a Dream (2000)
Coming to America (1988)
300 (2006)
Minority Report (2002)
"The Good, the Bad, and the Ugly (1966)"
The Warriors (1979)
Almost Famous (2000)
Saboteur (1942)
A Quiet Place (2018)
The Shining (1980)
1917 (2019)
Caddyshack (1980)
Religulous (2008)
Mallrats (1995)
South Park: Bigger Longer & Uncut (1999)
Avatar (2009)
The Bourne Ultimatum (2007)
Moon (2009)
Iron Man (2008)
Dogma (1999)
John Wick: Chapter 2 (2017)
Titanic (1997)
The Suicide Squad (2021)
Rounders (1998)
Grindhouse (2007)
Monty Python and the Holy Grail (1975)
Dunkirk (2017)
Once Upon a Time... In Hollywood (2019)
Take Shelter (2011)
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964)
Parasite (2019)
Casino Royale (2006)
The Curious Case of Benjamin Button (2008)
Schindler's List (1993)
In Time (2011)
Signs (2002)
A Bronx Tale (1993)
Gone Girl (2014)
Dog Day Afternoon (1975)
The Mouse That Roared (1959)
Snowpiercer (2013)
The Lost Boys (1987)
25th Hour (2002)
Office Space (1999)
Terminator 2: Judgment Day (1991)
Valkyrie (2008)
Frost/Nixon (2008)
Mystic River (2003)
The Life of David Gale (2003)
Rogue One: A Star Wars Story (2016)
Captain America: Civil War (2016)
Whiplash (2014)
Fletch (1985)
Dumb & Dumber (1994)
District 9 (2009)
Nightmare Alley (2021)
Apollo 13 (1995)
The King's Speech (2010)
L.A. Confidential (1997)
The Devil's Double (2011)
Safety Last! (1923)
American Beauty (1999)
Guardians of the Galaxy (2014)
Rocky IV (1985)
Young Frankenstein (1974)
127 Hours (2010)
Moonrise Kingdom (2012)
Joker (2019)
Braveheart (1995)
Side Effects (2013)
Escape from Alcatraz (1979)
Blazing Saddles (1974)
Butch Cassidy and the Sundance Kid (1969)
Buffalo Soldiers (2001)
Warrior (2011)
The Silence of the Lambs (1991)
Star Wars: Episode VII - The Force Awakens (2015)
The Hustler (1961)
All About Eve (1950)
Gravity (2013)
The Beach (2000)
One Crazy Summer (1986)
Red Dragon (2002)
Munich (2005)
Sicario (2015)
Taken (2008)
Twelve Monkeys (1995)
The Treasure of the Sierra Madre (1948)
The Negotiator (1998)
Interview with the Vampire: The Vampire Chronicles (1994)
Goon (2011)
The Tomorrow War (2021)
Rush (2013)
Vacation (1983)
The 'Burbs (1989)
Sunshine (2007)
Raiders of the Lost Ark (1981)
Scrooged (1988)
Man on Fire (2004)
Spy Game (2001)
Catch Me If You Can (2002)
Full Metal Jacket (1987)
The Matrix (1999)
Coherence (2014)
Point Break (1991)
"O Brother, Where Art Thou? (2000)"
The Avengers: Infinity War (2018)
The Bridge on the River Kwai (1957)
A Quiet Place Part II (2020)
Splice (2009)
Death Proof (2007)
Get Out (2017)
The French Connection (1971)
The Maltese Falcon (1941)
A Beautiful Mind (2001)
The Last Castle (2001)
Desperado (1995)
"Good Night, and Good Luck. (2005)"
Pi (1998)
The Town (2010)
Good Will Hunting (1997)
This Film is Not Yet Rated (2006)
Lifeboat (1944)
Birdman or (The Unexpected Virtue of Ignorance) (2014)
The Big Short (2015)
Creature from the Black Lagoon (1954)
Unbroken (2014)
Life is Beautiful (1997)
The Pianist (2002)
Revenge of the Nerds (1984)
The Man from U.N.C.L.E. (2015)
Beetlejuice (1988)
Creed (2015)
The Ides of March (2011)
The Wrestler (2008)
Contagion (2011)
The Last Samurai (2003)
The Dirty Dozen (1967)
Cast Away (2000)
The King of Kong: A Fistful of Quarters (2007)
Indiana Jones and the Last Crusade (1989)
Seven Psychopaths (2012)
Adaptation. (2002)
Anatomy of a Murder (1959)
Cool Hand Luke (1967)
The Sting (1973)
Buried (2010)
Argo (2012)
3:10 to Yuma (2007)
The Day the Earth Stood Still (1951)
The Tillman Story (2010)
Nightcrawler (2014)
Citizenfour (2014)
Prisoners (2013)
Up (2009)
The Great Dictator (1940)
The Informant! (2009)
Confessions of a Dangerous Mind (2002)
Brick (2005)
Contact (1997)
Oppenheimer (2023)
Troy (2004)
They Live (1988)
Following (1998)
Dazed and Confused (1993)
